timestampUtc,phase,pid,serverAlive,rssMiB,threads,load1,temperatureMaxC
2026-08-09T04:28:51.876515+00:00,capacity-c1,6026,True,1839.796875,15,1.4052734375,
2026-08-09T04:28:52.879257+00:00,capacity-c1,6026,True,1845.390625,15,1.4052734375,
2026-08-09T04:28:53.879721+00:00,capacity-c1,6026,True,1850.16015625,15,1.4052734375,
2026-08-09T04:28:54.880260+00:00,capacity-c1,6026,True,1853.53125,15,1.4052734375,
2026-08-09T04:28:55.884257+00:00,capacity-c1,6026,True,1859.26953125,15,1.4052734375,
2026-08-09T04:28:56.884716+00:00,capacity-c1,6026,True,1861.76171875,15,1.693359375,
2026-08-09T04:28:57.885184+00:00,capacity-c1,6026,True,1861.8125,15,1.693359375,
2026-08-09T04:28:58.885654+00:00,capacity-c1,6026,True,1861.875,15,1.693359375,
2026-08-09T04:28:59.886267+00:00,capacity-c1,6026,True,1861.87890625,15,1.693359375,
2026-08-09T04:29:00.887266+00:00,capacity-c1,6026,True,1861.89453125,15,1.693359375,
2026-08-09T04:29:01.887749+00:00,capacity-c1,6026,True,1861.8984375,15,1.95849609375,
2026-08-09T04:29:02.889259+00:00,capacity-c1,6026,True,1861.90234375,15,1.95849609375,
2026-08-09T04:29:03.889825+00:00,capacity-c1,6026,True,1861.90234375,15,1.95849609375,
2026-08-09T04:29:04.890276+00:00,capacity-c1,6026,True,1861.90625,15,1.95849609375,
2026-08-09T04:29:05.891268+00:00,capacity-c1,6026,True,1861.921875,15,1.95849609375,
2026-08-09T04:29:06.891712+00:00,capacity-c1,6026,True,1861.92578125,15,2.2822265625,
2026-08-09T04:29:07.892268+00:00,capacity-c1,6026,True,1861.92578125,15,2.2822265625,
2026-08-09T04:29:08.892747+00:00,capacity-c1,6026,True,1861.9296875,15,2.2822265625,
2026-08-09T04:29:09.895258+00:00,capacity-c1,6026,True,1862.76953125,15,2.2822265625,
2026-08-09T04:29:10.895719+00:00,capacity-c1,6026,True,1862.76953125,15,2.2822265625,
2026-08-09T04:29:11.896237+00:00,capacity-c1,6026,True,1862.7734375,15,2.580078125,
2026-08-09T04:29:12.896688+00:00,capacity-c1,6026,True,1862.77734375,15,2.580078125,
2026-08-09T04:29:13.897155+00:00,capacity-c1,6026,True,1863.1953125,15,2.580078125,
2026-08-09T04:29:14.897608+00:00,capacity-c1,6026,True,1863.1953125,15,2.580078125,
2026-08-09T04:29:15.898262+00:00,capacity-c1,6026,True,1863.1953125,15,2.580078125,
2026-08-09T04:29:16.899259+00:00,capacity-c1,6026,True,1863.1953125,15,2.69384765625,
2026-08-09T04:29:17.899723+00:00,capacity-c1,6026,True,1863.19921875,15,2.69384765625,
2026-08-09T04:29:18.900203+00:00,capacity-c1,6026,True,1863.20703125,15,2.69384765625,
2026-08-09T04:29:19.900661+00:00,capacity-c1,6026,True,1863.20703125,15,2.69384765625,
2026-08-09T04:29:20.901268+00:00,capacity-c1,6026,True,1863.20703125,15,2.69384765625,
2026-08-09T04:29:21.901732+00:00,capacity-c1,6026,True,1863.2109375,15,2.798828125,
2026-08-09T04:29:22.902186+00:00,capacity-c1,6026,True,1863.21875,15,2.798828125,
2026-08-09T04:29:23.150517+00:00,capacity-c2,6026,True,1863.21875,15,2.798828125,
2026-08-09T04:29:24.152263+00:00,capacity-c2,6026,True,1863.21875,15,2.798828125,
2026-08-09T04:29:25.155261+00:00,capacity-c2,6026,True,1863.76953125,15,2.798828125,
2026-08-09T04:29:26.155742+00:00,capacity-c2,6026,True,1863.76953125,15,2.89501953125,
2026-08-09T04:29:27.156229+00:00,capacity-c2,6026,True,1863.76953125,15,2.89501953125,
2026-08-09T04:29:28.156696+00:00,capacity-c2,6026,True,1864.28125,15,2.89501953125,
2026-08-09T04:29:29.157165+00:00,capacity-c2,6026,True,1864.28125,15,2.89501953125,
2026-08-09T04:29:30.158265+00:00,capacity-c2,6026,True,1864.28125,15,2.89501953125,
2026-08-09T04:29:31.158731+00:00,capacity-c2,6026,True,1864.28125,15,2.98388671875,
2026-08-09T04:29:32.159196+00:00,capacity-c2,6026,True,1864.28125,15,2.98388671875,
2026-08-09T04:29:33.160267+00:00,capacity-c2,6026,True,1864.28125,15,2.98388671875,
2026-08-09T04:29:34.160749+00:00,capacity-c2,6026,True,1864.28125,15,2.98388671875,
